,AUD,BRL,CAD,CHF,CLP,CNH,COP,CZK,EUR,GBP,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PLN,RUB,SEK,TRY,ZAR
2016-07-29,-0.10554378240306181,0.7322267706446632,0.045723220801373275,-0.22063743958942647,0.6593539512592185,0.908269155126579,1.5693011228740528,0.8578931101917346,0.17970770248526186,0.08058454356980296,1.0855421737603634,2.2369664423727635,-0.013846508967074756,2.926427162580738,-0.002727287232594282,0.2860996565115481,1.1937711026805802,-0.1346049269011259,-0.0528488607876531,1.1869842559005301,1.8754041696661548,-0.046414035259200764,1.4855386603649834,1.491515791614173
2016-08-01,-0.10046964842716632,0.7490228027838173,0.050433419175961614,-0.22031350981557568,0.6674679864848779,0.9111236608174071,1.580662646766015,0.8579541089256751,0.18094322339255275,0.08661378844175006,1.0884485077487331,2.230217237981983,-0.013974547870981013,2.913500986874658,-0.003873711547297753,0.27230185686830116,1.2074527668222543,-0.13080559520046953,-0.04847752950899546,1.1911782253407566,1.8882608855022052,-0.04126531934896359,1.486247170805621,1.4975720306917422
2016-08-02,-0.10674406781226208,0.744381472144395,0.047351608894307465,-0.22244923166905883,0.6604565567178232,0.9077480515187142,1.566321247018793,0.8501332870623364,0.17541123500709427,0.07760574647029031,1.0804491979746147,2.2367832274118578,-0.014052701804002109,2.9123652901801997,-0.01743141318762873,0.2745987566244072,1.211806666286401,-0.1341943047051,-0.05547670773127885,1.1647113481971425,1.885941731603176,-0.047853319656240526,1.484537641588984,1.508994011904661
2016-08-03,-0.10292982848166318,0.7556584999276517,0.049996668457138696,-0.21647779150624497,0.6668221887575074,0.9094294371630686,1.5966850935354273,0.8587692821980246,0.18072579329925953,0.07670233581008692,1.086671677490085,2.244120434643989,-0.011627762079300951,2.9257174210867802,-0.01427026826557652,0.2834750028346014,1.2178903679006352,-0.13408711206588197,-0.04576015396533625,1.163999503984637,1.8984395290057086,-0.047021299907780915,1.5081023559267686,1.5146442512920788
2016-08-04,-0.10817946321527876,0.7247109868063224,0.045839374897844336,-0.21503542868959696,0.6677099674963602,0.9110942719578561,1.5745363554973049,0.8633396564886303,0.1843926335605211,0.09307757888059541,1.0943504106821793,2.2466533312138592,-0.010004972109813083,2.9241363896238624,-0.01618454212359976,0.2793116153495447,1.2122421789864954,-0.1328858440269007,-0.049079481522919466,1.1633142369089138,1.876082132365079,-0.04885201937814195,1.506736452074663,1.4757728372981194
2016-08-05,-0.10615036088836197,0.7102923063750273,0.05680548569452853,-0.20894168401609278,0.6657094104650682,0.9176931728086813,1.5512074678129,0.8745432555537639,0.19173850564383565,0.09861168277588374,1.1030276593480617,2.2444013536023317,-0.006035792609291104,2.914024826593124,-0.008681663970280208,0.2749675774383889,1.208253497343977,-0.12614450639781757,-0.041351864411844186,1.1713802862498426,1.8354295320953247,-0.04255011203913129,1.5051916762357989,1.475896335391036
2016-08-08,-0.11240246775822518,0.7056442350518837,0.05610387543559826,-0.20685837078146724,0.6603826964004701,0.9175201771213101,1.4953663616010284,0.8740982546294016,0.19124779027095767,0.10034604124704734,1.1071639313911905,2.244801681964135,-0.009879482683734285,2.917237809625066,-0.0022076243969308506,0.2725308702205998,1.1738551410593494,-0.12789055253933854,-0.04265204995224739,1.1645805651599468,1.8079946773950621,-0.04016355464281415,1.4806384054772475,1.4487973761673871
2016-08-09,-0.11493667425186019,0.6851871368406035,0.052049960608468775,-0.20788722590446418,0.6560647338584282,0.915954636310015,1.4779991923530091,0.8675559483499897,0.18727894362416145,0.10434085878898748,1.0980377112402664,2.2453493106703233,-0.01184555880388929,2.9198831678991177,-0.008410307289098935,0.26973870791334753,1.1547109348168054,-0.13629973354816033,-0.04744078959827755,1.1527586460430024,1.8101798486061496,-0.047401431117421844,1.4669508807853702,1.414009715639797
2016-08-10,-0.11952078654286706,0.6811296725190169,0.04657905637900068,-0.21212253408564227,0.6447823475074975,0.9098585989049844,1.4642673998525284,0.8590540053053857,0.1818381873879691,0.10264724041318073,1.0834374669992464,2.24072959612206,-0.013135876905069867,2.9092718484938915,-0.01462069341387879,0.25780567176363617,1.1497291841394386,-0.15104403250721482,-0.055480774352937835,1.144545481926658,1.8040627643637137,-0.05441944962063316,1.458804193121073,1.3898035187978297
2016-08-11,-0.11903359339309001,0.6793800674700321,0.04422644155883113,-0.21667490054669056,0.6354090284405933,0.9095114960373287,1.4301965783415942,0.856379933981434,0.18017740364627133,0.10647548771169378,1.0792579229627253,2.241659515301719,-0.015111607912514936,2.917025473759137,-0.013996400096440636,0.2626283474466304,1.1407824561908446,-0.15441101204447497,-0.05936787654013095,1.1397205860188078,1.8023336481059251,-0.058974053974505725,1.4549327733974664,1.382874956482482
